Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,MSRP
Radeon 9000 PRO Mac Edition,RV250,"Mar 14th, 2004",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 1 / 4 / 4,
Radeon 9250 PCI,RV280,"Mar 1st, 2004",PCI,"128 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,
Radeon 9250,RV280,"Mar 1st, 2004",AGP 8x,"64 MB, DDR, 64 bit",240 MHz,200 MHz,4 / 1 / 4 / 4,
Radeon 9800 PRO Mac Edition,R360,"Mar 4th, 2004",AGP Pro 8x,"128 MB, DDR, 256 bit",378 MHz,338 MHz,8 / 4 / 8 / 8,
Radeon 9800 XT Mac Edition,R360,"Mar 14th, 2004",AGP Pro 8x,"256 MB, DDR, 256 bit",412 MHz,365 MHz,8 / 4 / 8 / 8,
Radeon X300 SE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 64 bit",325 MHz,200 MHz,4 / 2 / 4 / 4,
Radeon X300 LE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",325 MHz,200 MHz,4 / 2 / 4 / 4,
Radeon X300,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",375 MHz,200 MHz,4 / 2 / 4 / 4,
Radeon X600 SE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 64 bit",325 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X600,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"256 MB, DDR, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4,
Radeon X600 XT,RV380,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",500 MHz,370 MHz,4 / 2 / 4 / 4,
Radeon X600 PRO,RV380,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,300 MHz,4 / 2 / 4 / 4,
